Size,TestCase,Algorithm,Cost,TimeMs
30,12,ACO,479,106
30,12,SeedDNA_N,479,4
30,12,SeedDNA_2N,479,4
30,12,SeedDNA_3N,479,4
30,12,SeedDNA_6N,479,4
30,12,SeedDNA_9N,479,7
40,1,Greedy,574,0
40,1,2-Opt,527,0
40,1,SA,529,36
40,1,GA,684,27
40,1,ACO,523,202
40,1,SeedDNA_N,515,8
40,1,SeedDNA_2N,515,5
40,1,SeedDNA_3N,515,5
40,1,SeedDNA_6N,515,7
40,1,SeedDNA_9N,515,12
40,2,Greedy,624,0
40,2,2-Opt,548,0
40,2,SA,504,35
40,2,GA,630,21
40,2,ACO,508,184
40,2,SeedDNA_N,513,8
40,2,SeedDNA_2N,513,13
40,2,SeedDNA_3N,513,9
40,2,SeedDNA_6N,513,10
40,2,SeedDNA_9N,513,12
40,3,Greedy,572,0
40,3,2-Opt,510,0
40,3,SA,488,35
40,3,GA,590,22
40,3,ACO,497,194
40,3,SeedDNA_N,497,5
40,3,SeedDNA_2N,606,6
40,3,SeedDNA_3N,531,7
40,3,SeedDNA_6N,488,9
40,3,SeedDNA_9N,488,9
40,4,Greedy,735,0
40,4,2-Opt,576,0
40,4,SA,549,33
40,4,GA,587,18
40,4,ACO,554,174
40,4,SeedDNA_N,608,4
40,4,SeedDNA_2N,546,9
40,4,SeedDNA_3N,546,5
40,4,SeedDNA_6N,546,8
40,4,SeedDNA_9N,546,9
40,5,Greedy,635,0
40,5,2-Opt,521,0
40,5,SA,538,39
40,5,GA,668,20
40,5,ACO,527,194
40,5,SeedDNA_N,521,4
40,5,SeedDNA_2N,521,7
40,5,SeedDNA_3N,521,6
40,5,SeedDNA_6N,521,5
40,5,SeedDNA_9N,521,10
40,6,Greedy,664,1
40,6,2-Opt,516,0
40,6,SA,503,34
40,6,GA,639,19
40,6,ACO,515,189
40,6,SeedDNA_N,503,6
40,6,SeedDNA_2N,503,8
40,6,SeedDNA_3N,503,6
40,6,SeedDNA_6N,503,9
40,6,SeedDNA_9N,503,11
40,7,Greedy,705,0
40,7,2-Opt,499,0
40,7,SA,489,42
40,7,GA,612,31
40,7,ACO,505,204
40,7,SeedDNA_N,490,3
40,7,SeedDNA_2N,490,6
40,7,SeedDNA_3N,490,7
40,7,SeedDNA_6N,490,9
40,7,SeedDNA_9N,490,11
40,8,Greedy,635,0
40,8,2-Opt,523,0
40,8,SA,522,44
40,8,GA,624,20
40,8,ACO,519,203
40,8,SeedDNA_N,523,4
40,8,SeedDNA_2N,515,6
40,8,SeedDNA_3N,515,8
40,8,SeedDNA_6N,515,5
40,8,SeedDNA_9N,515,8
40,9,Greedy,664,0
40,9,2-Opt,482,0
40,9,SA,477,40
40,9,GA,662,17
40,9,ACO,477,173
40,9,SeedDNA_N,477,6
40,9,SeedDNA_2N,477,3
40,9,SeedDNA_3N,477,8
40,9,SeedDNA_6N,477,9
40,9,SeedDNA_9N,477,8
40,10,Greedy,562,0
40,10,2-Opt,521,0
40,10,SA,489,30
40,10,GA,584,19
40,10,ACO,503,177
40,10,SeedDNA_N,487,6
40,10,SeedDNA_2N,487,8
40,10,SeedDNA_3N,487,5
40,10,SeedDNA_6N,487,9
40,10,SeedDNA_9N,487,10
